date,5. adjusted close
2022-12-30,129.7324
2022-11-30,147.6183
2022-10-31,152.6598
2022-09-30,137.5869
2022-08-31,156.5225
2022-07-29,161.5643
2022-06-30,135.9244
2022-05-31,147.9739
2022-04-29,156.5038
2022-03-31,173.3404
2022-02-28,163.9194
2022-01-31,173.2881
2021-12-31,176.0542
2021-11-30,163.889
2021-10-29,148.3056
2021-09-30,140.0884
2021-08-31,150.3154
2021-07-30,144.1879
2021-06-30,135.3899
2021-05-28,123.1815
2021-04-30,129.7337
2021-03-31,120.546
2021-02-26,119.6677
2021-01-29,130.0323
2020-12-31,130.7516
