date,5. adjusted close
2022-12-30,213.1741
2022-11-30,218.3965
2022-10-31,201.9511
2022-09-30,165.2768
2022-08-31,187.4299
2022-07-29,189.5724
2022-06-30,171.2023
2022-05-31,190.715
2022-04-29,189.6433
2022-03-31,190.692
2022-02-28,185.9585
2022-01-31,199.3229
2021-12-31,203.2512
2021-11-30,197.1394
2021-10-29,212.1837
2021-09-30,206.0304
2021-08-31,225.0825
2021-07-30,226.001
2021-06-30,212.042
2021-05-28,223.2169
2021-04-30,214.7164
2021-03-31,208.9692
2021-02-26,194.7985
2021-01-29,187.2287
2020-12-31,203.8366
