date,5. adjusted close
2022-12-30,175.4141
2022-11-30,176.7547
2022-10-31,171.6506
2022-09-30,161.1821
2022-08-31,159.189
2022-07-29,171.04
2022-06-30,173.9704
2022-05-31,175.9501
2022-04-29,175.7548
2022-03-31,172.609
2022-02-28,160.2791
2022-01-31,166.716
2021-12-31,165.5355
2021-11-30,150.8853
2021-10-29,156.5712
2021-09-30,155.2447
2021-08-31,166.4242
2021-07-30,164.5482
2021-06-30,157.4197
2021-05-28,161.7293
2021-04-30,154.5385
2021-03-31,156.077
2021-02-26,150.4835
2021-01-29,153.9578
2020-12-31,148.5311
