date,5. adjusted close
2022-12-30,133.1165
2022-11-30,137.1666
2022-10-31,124.9568
2022-09-30,102.8023
2022-08-31,111.8824
2022-07-29,113.4859
2022-06-30,109.8056
2022-05-31,128.9369
2022-04-29,116.3875
2022-03-31,131.9356
2022-02-28,137.2394
2022-01-31,143.8207
2021-12-31,152.327
2021-11-30,152.7888
2021-10-29,163.4281
2021-09-30,156.5358
2021-08-31,152.9592
2021-07-30,145.1463
2021-06-30,147.8889
2021-05-28,156.161
2021-04-30,146.244
2021-03-31,143.8987
2021-02-26,139.1156
2021-01-29,121.6281
2020-12-31,119.2614
