date,5. adjusted close
2022-12-30,239.216
2022-11-30,254.4974
2022-10-31,230.8959
2022-09-30,231.6618
2022-08-31,260.0799
2022-07-29,278.6544
2022-06-30,254.922
2022-05-31,269.8503
2022-04-29,274.7878
2022-03-31,305.2746
2022-02-28,295.8484
2022-01-31,307.2822
2021-12-31,332.3209
2021-11-30,326.6591
2021-10-29,327.0788
2021-09-30,278.0594
2021-08-31,297.7461
2021-07-30,280.4682
2021-06-30,266.6766
2021-05-28,245.7875
2021-04-30,247.678
2021-03-31,231.561
2021-02-26,228.2315
2021-01-29,227.2977
2020-12-31,217.9495
