date,5. adjusted close
2022-12-30,146.14
2022-11-30,169.23
2022-10-31,134.9381
2022-09-30,121.3613
2022-08-31,150.8603
2022-07-29,181.5341
2022-06-30,151.51
2022-05-31,186.5814
2022-04-29,185.3323
2022-03-31,272.6575
2022-02-28,243.6288
2022-01-31,244.6379
2021-12-31,293.8432
2021-11-30,326.422
2021-10-29,255.4056
2021-09-30,206.9457
2021-08-31,223.6185
2021-07-30,194.7535
2021-06-30,199.7824
2021-05-28,162.2106
2021-04-30,149.8784
2021-03-31,133.2899
2021-02-26,136.9034
2021-01-29,129.6686
2020-12-31,130.32
