date,5. adjusted close
2022-12-30,530.18
2022-11-30,546.0795
2022-10-31,553.4468
2022-09-30,503.4905
2022-08-31,516.1126
2022-07-29,538.98
2022-06-30,510.4479
2022-05-31,491.9227
2022-04-29,503.5776
2022-03-31,504.9837
2022-02-28,469.8063
2022-01-31,466.5484
2021-12-31,495.7416
2021-11-30,437.1489
2021-10-29,453.1402
2021-09-30,384.5202
2021-08-31,408.1785
2021-07-30,404.2072
2021-06-30,392.6562
2021-05-28,402.4145
2021-04-30,389.5972
2021-03-31,363.4841
2021-02-26,323.4181
2021-01-29,324.7421
2020-12-31,341.389
