date,5. adjusted close
2022-12-30,172.3163
2022-11-30,188.0671
2022-10-31,164.8455
2022-09-30,158.7241
2022-08-31,191.1193
2022-07-29,190.0826
2022-06-30,178.0372
2022-05-31,177.7544
2022-04-29,174.0544
2022-03-31,207.3992
2022-02-28,203.4922
2022-01-31,194.143
2021-12-31,205.789
2021-11-30,190.4562
2021-10-29,203.9558
2021-09-30,173.984
2021-08-31,186.9109
2021-07-30,181.8713
2021-06-30,197.6576
2021-05-28,203.9589
2021-04-30,192.8231
2021-03-31,160.7868
2021-02-26,149.2852
2021-01-29,145.6828
2020-12-31,158.2773
