,layoff_group,no_layoff_group
2022-11-02,1.0,1.0
2022-11-03,0.988056602711263,0.9986809683078613
2022-11-04,1.001102441281779,1.0148001965361209
2022-11-07,1.0082556865271843,1.0282180256334512
2022-11-08,1.0140017687734115,1.03581006943198
2022-11-09,0.9960881182100216,1.0153140342967186
2022-11-10,1.0491400091795442,1.0630720369549251
2022-11-11,1.0592325069824222,1.054755658390072
2022-11-14,1.0518829255161455,1.0520799745918843
2022-11-15,1.0584973483526356,1.0577255232446983
2022-11-16,1.0511081625028953,1.050442346238756
2022-11-17,1.0526831590353456,1.0533543879765148
2022-11-18,1.0566865147408617,1.0627102192765487
2022-11-21,1.054685384724472,1.0632041109346353
2022-11-22,1.0663653448567403,1.0793306865216163
2022-11-23,1.0693359407952034,1.0884350706397463
2022-11-25,1.0671867034745797,1.089906659270745
2022-11-28,1.0455492778421949,1.0778341812976642
2022-11-29,1.0437169830848476,1.0805809760773573
2022-11-30,1.0686713480181638,1.115064216635354
2022-12-01,1.0566104880439486,1.113460336653122
2022-12-02,1.0546359847848727,1.1126068853484943
2022-12-05,1.031924203827239,1.0969822345299027
2022-12-06,1.0091761190775055,1.079737071793135
2022-12-07,1.002411535072177,1.083602718397513
2022-12-08,1.0031776551511769,1.1021876987022738
2022-12-09,1.0001582942899865,1.0898741274454833
2022-12-12,1.0144794179363077,1.1092892949415722
2022-12-13,1.0176150602686451,1.1188814743767328
2022-12-14,1.0072514710635927,1.117892920630615
2022-12-15,0.97872266238873,1.09292412775699
2022-12-16,0.9739700486880699,1.0811885410663535
2022-12-19,0.9725026392411915,1.0762662509687178
2022-12-20,0.9773711708613477,1.0731446075821953
2022-12-21,0.9957879054920742,1.0892336771558997
2022-12-22,0.980282782310862,1.0716389969442095
2022-12-23,0.9853886513524843,1.0757185833071552
2022-12-27,0.9828443216479672,1.066471734273581
2022-12-28,0.9723253572527717,1.0591316108478075
2022-12-29,0.9893980151378671,1.0728411485218061
2022-12-30,0.9892130685326082,1.0720430117867723
