,layoff_group,no_layoff_group
2020-01-31,1.0,1.0
2020-02-28,0.9035803158332506,0.9340427440290406
2020-03-31,0.7660597092614795,0.8697852740986828
2020-04-30,0.8376090735714593,0.9854370750662738
2020-05-29,0.8613876674257263,1.0326037706973743
2020-06-30,0.8811837208016076,1.0455885813903936
2020-07-31,0.956638453090213,1.1066138517663817
2020-08-31,1.0713111836897036,1.21611472198699
2020-09-30,1.0206561092536999,1.1886099175006668
2020-10-30,0.9885103722357765,1.1306496585327037
2020-11-30,1.1515015636381245,1.270728503549772
2020-12-31,1.2245107898521794,1.307703552891629
2021-01-29,1.1859375528507088,1.28175745722681
2021-02-26,1.2413353103635751,1.318582404642193
2021-03-31,1.322781484212598,1.3853055570264794
2021-04-30,1.3980244225656033,1.4745281178295853
2021-05-28,1.4286686183301618,1.542796629339437
2021-06-30,1.4236424185915204,1.5865224733003744
2021-07-30,1.4458997494963046,1.588601905994158
2021-08-31,1.5014519900016976,1.645357244732754
2021-09-30,1.4355360001713426,1.582828074734492
2021-10-29,1.5308677203634071,1.7845939032020357
2021-11-30,1.5036720360463005,1.7490430587707575
2021-12-31,1.5754694044288222,1.8195140017229348
2022-01-31,1.5947447436370135,1.7522263032493905
2022-02-28,1.5404321638886422,1.7553291223119631
2022-03-31,1.5858695758484018,1.8275080248670736
2022-04-29,1.458101826185962,1.6803050392899406
2022-05-31,1.4480889690047785,1.7100885630882356
2022-06-30,1.2750118021224661,1.6343068956526725
2022-07-29,1.4289820972795548,1.7121903922920751
2022-08-31,1.388152114967205,1.6197114248095332
2022-09-30,1.254960399181929,1.4904578491777924
2022-10-31,1.4526008674014048,1.6507247749569613
2022-11-30,1.5173505176744015,1.804795716351849
2022-12-30,1.405362429958146,1.7348488525973735
