,layoff_group,no_layoff_group
2020-01-03,1.0,1.0
2020-01-10,1.0099315835043066,1.0030691308234942
2020-01-17,1.0269659449212696,1.024092834923581
2020-01-24,1.0057007003002731,1.0051774351094236
2020-01-31,0.9851842990653261,0.9756707079254151
2020-02-07,1.0136887801944363,1.0120883672662244
2020-02-14,1.026690810032224,1.0330194764312166
2020-02-21,1.0152255051877865,1.0241941139413122
2020-02-28,0.8906194624957453,0.910180957787405
2020-03-06,0.8851010699006395,0.9288075461902662
2020-03-13,0.8332799239538095,0.8747361250811257
2020-03-20,0.6786434914442083,0.7522117615331684
2020-03-27,0.7468670392148089,0.8308422260171386
2020-04-03,0.7217192335736462,0.8288264898669119
2020-04-09,0.8233979618277886,0.9378334550503165
2020-04-17,0.8115535952311417,0.9811869549200146
2020-04-24,0.7930156826198335,0.9631480766730047
2020-05-01,0.8037725789449576,0.9358783507275115
2020-05-08,0.8163265420866532,0.9527518396558711
2020-05-15,0.7717253538649967,0.9457945401220474
2020-05-22,0.8173715919942687,0.9742728066002685
2020-05-29,0.8521625783971066,1.0125711083405766
2020-06-05,0.938140166254963,1.0618059351958526
2020-06-12,0.8682831361255317,1.0054100817953897
2020-06-19,0.87890449799258,1.0266263110567366
2020-06-26,0.8469459142228053,0.9953383669882252
2020-07-02,0.8691116754264061,1.0367018036079787
2020-07-10,0.8886949501213451,1.0492505609802454
2020-07-17,0.9113603912295335,1.0700101428494226
2020-07-24,0.909970452081825,1.060290179099609
2020-07-31,0.9498204616852874,1.0859746484639632
2020-08-07,0.9986034453806026,1.1369436370013541
2020-08-14,1.0221172353847858,1.1606487046300435
2020-08-21,1.0200676031888116,1.165135469707889
2020-08-28,1.065728821621855,1.20036279592118
2020-09-04,1.0588776316622182,1.1750749556444662
2020-09-11,1.0280421851546013,1.1497944671332838
2020-09-18,1.0170820585107094,1.156198143763285
2020-09-25,0.9927712121523122,1.1462333601804353
2020-10-02,1.0092071398470648,1.160698552400847
2020-10-09,1.048746842049093,1.2009068601016224
2020-10-16,1.0379012977815336,1.2060712435111083
2020-10-23,1.0382779112837501,1.201933355057061
2020-10-30,0.9829738169398495,1.1109333214878476
2020-11-06,1.0491946433402997,1.2091015855347238
2020-11-13,1.128736896402539,1.2386523114121126
2020-11-20,1.1223431823823713,1.227430948317964
2020-11-27,1.15926966319544,1.2547794186198584
2020-12-04,1.1824361303252946,1.2746733902300462
2020-12-11,1.1719298759334238,1.2617140262864164
2020-12-18,1.173018577576001,1.265547427347992
2020-12-24,1.201877227772733,1.270244983512906
2020-12-31,1.218655488162636,1.286326985775862
2021-01-08,1.2385139926261708,1.297287502095902
2021-01-15,1.224869719512308,1.2847102380923436
2021-01-22,1.2337819365574925,1.2930390782144285
2021-01-29,1.1822575231619628,1.2618288778599647
2021-02-05,1.2414594257101341,1.3046752962364438
2021-02-12,1.2585217785721243,1.3287760424290633
2021-02-19,1.2559627977444896,1.3289446106633158
2021-02-26,1.2345024928839774,1.29827488697138
2021-03-05,1.2789395882757582,1.306965271086738
2021-03-12,1.3074070578916952,1.3445043293970895
2021-03-19,1.2960892053042987,1.3422042416011042
2021-03-26,1.3166598364785673,1.3651453596453627
2021-04-01,1.3276403380583284,1.3750979825929552
2021-04-09,1.3844392158202645,1.403729332247125
2021-04-16,1.3959603748291824,1.4363741215013899
2021-04-23,1.3850350633994173,1.4391372204262496
2021-04-30,1.391122126091071,1.4538225517493308
2021-05-07,1.431734420849572,1.5025374970592225
2021-05-14,1.4246088748705206,1.4928445058392843
2021-05-21,1.409181900288757,1.5010219768329964
2021-05-28,1.4210470031978084,1.5223469345461662
2021-06-04,1.4360370728532073,1.5363781417850124
2021-06-11,1.4139070530032893,1.530994276834627
2021-06-18,1.3608762368048495,1.5104118626536014
2021-06-25,1.4080811181165998,1.5471279911258082
2021-07-02,1.4273089766903233,1.5915099337810374
2021-07-09,1.4374342302506642,1.5893575525389825
2021-07-16,1.427853558531129,1.5598614915631739
2021-07-23,1.430266354238835,1.5878893098738418
2021-07-30,1.4367414299830596,1.565303011292863
2021-08-06,1.4578918548702096,1.5859578494623525
2021-08-13,1.4863687517497373,1.5946987604398366
2021-08-20,1.4629625345785073,1.615182221593139
2021-08-27,1.4904120195602342,1.626517141439568
2021-09-03,1.4833146334064438,1.6320495849321166
2021-09-10,1.4480875726991753,1.5886750327354942
2021-09-17,1.435672075773354,1.5866908228414356
2021-09-24,1.4549086084929632,1.600292926133738
2021-10-01,1.4437488634075029,1.5893548746092194
2021-10-08,1.46940533160122,1.615157263951722
2021-10-15,1.4963967441882227,1.6436323569056883
2021-10-22,1.5170165407896836,1.6948639815458664
2021-10-29,1.5207260706616115,1.75979242206584
2021-11-05,1.5326863600291825,1.77912309460796
2021-11-12,1.5218318939624975,1.792618276498758
2021-11-19,1.5217165228857696,1.776218429606832
2021-11-26,1.502184729660867,1.7413820002483216
2021-12-03,1.4844003627608136,1.7063297357549607
2021-12-10,1.5562313540193138,1.7598378730672815
2021-12-17,1.5313477758352032,1.7327498972048594
2021-12-23,1.5487327945424165,1.7716335452237453
2021-12-31,1.5643123459395116,1.7872005463138403
2022-01-07,1.634404316685189,1.780242725425384
2022-01-14,1.635145463706108,1.7555607967253481
2022-01-21,1.5370348768748117,1.6704455042584019
2022-01-28,1.5677423415492064,1.693528345588815
2022-02-04,1.5758444289623708,1.7503055245493395
2022-02-11,1.5602491183532516,1.7228240890550872
2022-02-18,1.5257526472767122,1.6962592210023344
2022-02-25,1.533334817407586,1.7214501785103409
2022-03-04,1.5015237557969605,1.7082827579823718
2022-03-11,1.467483213042401,1.6671007769443624
2022-03-18,1.555676768714021,1.7798601617680911
2022-03-25,1.6133766715362203,1.8142511372862737
2022-04-01,1.575003325528462,1.7932846124580284
2022-04-08,1.5432035458633448,1.7669753981587875
2022-04-14,1.5125163205653605,1.7202165711163737
2022-04-22,1.485943800765117,1.6811549775604215
2022-04-29,1.4493635576436525,1.6452791860943696
2022-05-06,1.466178090797413,1.6439518276828242
2022-05-13,1.4086481408856721,1.6071262368864867
2022-05-20,1.35870306287992,1.583121951253162
2022-05-27,1.4487914035147809,1.6893585877567985
2022-06-03,1.4202897131783228,1.6650669465323393
2022-06-10,1.332986530986908,1.5885231411708098
2022-06-17,1.2681257438851432,1.5242003248143587
2022-06-24,1.3089651275657026,1.6387835600137743
2022-07-01,1.2852201106106773,1.6080654503908811
2022-07-08,1.3069261172955982,1.6312401193517496
2022-07-15,1.3148568168653711,1.6170897817863148
2022-07-22,1.3607507136485268,1.63529657198248
2022-07-29,1.4212623727389389,1.6769808540040423
2022-08-05,1.419118297648186,1.6790290586255117
2022-08-12,1.487260805747523,1.7138513522320329
2022-08-19,1.4736217927045046,1.7048904177473498
2022-08-26,1.4169898685702496,1.637026321400997
2022-09-02,1.3697856598421847,1.5634694525086783
2022-09-09,1.4074674417619755,1.603288936994371
2022-09-16,1.3444783343746978,1.5431180999755445
2022-09-23,1.3004067275278788,1.488180705085171
2022-09-30,1.2490235407791075,1.4589323998912835
2022-10-07,1.269645851087394,1.4649113590966454
2022-10-14,1.2849531114188386,1.4738730495820005
2022-10-21,1.3660731204044865,1.5602428492960378
2022-10-28,1.4597530075118388,1.6229842427448038
2022-11-04,1.4161555923185034,1.6092525682099077
2022-11-11,1.4982105189881048,1.6732061001834027
2022-11-18,1.4947187717596973,1.6859005914922218
2022-11-25,1.5096247250823107,1.728808948554206
2022-12-02,1.4916309189345534,1.7641535250021463
2022-12-09,1.41494214460794,1.7277821312396409
2022-12-16,1.3779412842045062,1.7137802646813498
2022-12-23,1.3941849829610578,1.705412632178294
2022-12-30,1.399502536618794,1.699141271901756
