user_id,description,location,following,followers,totaltweets,retweetcount,text,hashtags
100,"Perspicacity, Persistence, Prudence, Providence and Prayer makes me special. All views tweeted by me are personal and those retweeted are endorsed.","New Delhi, India",541,44,20172,1,"Entering a startup during a time of layoffs can be a daunting experience, but there are ways to prepare yourself and maximize your chances of success.

https://t.co/91d5Wod5HO",[]
101,"Philadelphia area news, traffic, weather, politics and sports from WPVI, including breaking news & AccuWeather forecast.",Philadelphia,564,917037,355876,0,"""There are more people that have been moved into new roles or promoted than have been laid off,"" the source said Friday.  https://t.co/vo0rx1vPf0",[]
102,"Breaking news and analyses of Indian and world business, economy and politics from Mint.",India,94,2086553,462454,1,"Entering a startup during a time of layoffs can be a daunting experience, but there are ways to prepare yourself and maximize your chances of success.

https://t.co/91d5Wod5HO",[]
103,non-stop crew prop | @columbuscrew | @columbuscrew2 | #usmnt | @worldsuperlge,,974,747,16047,0,"@bk1886 you guys play like a relegation-threatened championship team and the only reason it’s ever gotten close to working is that benteke can pull off some outrageous flicks/layoffs

other than that you guys will be lucky that mls doesn’t have pro/rel",[]
104,,,533,186,18550,0,@zerohedge McKinsey &amp; Co. doing what it does best. Layoffs followed by a large invoice for their services.,[]
105,"husband, __ and __ father, brother, friend to many. tx born, ny bred. tech worker. advocate for justice and fair treatment for all. views here are my own.",new york,367,43,1071,0,@Veight12 @MatthewSlyman @LBacaj Bottom line is all the companies are becoming less profitable with the market stagnation. All overhired given the expected trajectory of the market. That has rendered some jobs not as important and companies are trying to be leaner. So layoffs are always on the horizon sadly.,[]
106,AI enthusiast helping to bring #research to #commercialization | SM'#IEEE | SM'#ACM | IEEE Computer Society @Toronto,"Toronto, Ontario",530,333,595,0,McDonald’s temporarily closed its U.S. offices this week as it informs corporate employees about layoffs https://t.co/2tRc3KQ2nC via @WSJ,[]
107,"I'm Christian, I'm __ conservative, and I'm always loyal to my family, my friends, and my country. #astros_ I'm an alpha __ who believes in __ and respects __.","Houston, Texas",4402,3801,30477,0,"McDonald’s cuts pay packages, closes offices alongside layoffs across chain

https://t.co/WNnPejqwQ5",[]
108,"Just an Old lady on a farm, Wife, Mother, & American","Fitchburg, WI",488,6163,2568132,18,"McDonald's to lay off hundreds as burger giant restructures company, source says https://t.co/cr5CvG3Se1",[]
109,"Follower of Messiah Jesus, evangelist, philosopher, ask me why, secondarily: architect. Ye must be born again to see the Kingdom of God. Jesus. USA Patriot",In Christ Alone,5114,3638,179202,547,"Not only layoffs, but also cutting pay for survivors.

Everything is fine ... __ __ __
Not a recession … __
Fed still raising rates ? https://t.co/Yd7ePEMy2k",[]
