ticker,title,url,time_published,summary,banner_image,source,source_domain,topic1,topic1_relevance_score,topic2,topic2_relevance_score,topic3,topic3_relevance_score,overall_sentiment_score,overall_sentiment_label
AAPL,Apple  ( AAPL )  Dips More Than Broader Markets: What You Should Know,https://www.zacks.com/stock/news/2032741/apple-aapl-dips-more-than-broader-markets-what-you-should-know,20221227T224526,"In the latest trading session, Apple (AAPL) closed at $130.03, marking a -1.39% move from the previous day.",https://staticx-tuner.zacks.com/images/default_article_images/default137.jpg,Zacks Commentary,www.zacks.com,Earnings,0.972476,Technology,1,Financial Markets,0.266143,0.099482,Neutral
AAPL,Apple Inc.  ( AAPL )  Is a Trending Stock: Facts to Know Before Betting on It,https://www.zacks.com/stock/news/2033930/apple-inc-aapl-is-a-trending-stock-facts-to-know-before-betting-on-it,20221230T140012,"Apple (AAPL) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",https://staticx-tuner.zacks.com/images/default_article_images/default78.jpg,Zacks Commentary,www.zacks.com,Earnings,0.999999,Technology,1,Financial Markets,0.5855,0.239476,Somewhat-Bullish
AAPL,1 Growth Stock Down 28% to Buy Right Now,https://www.fool.com/investing/2022/12/29/1-growth-stock-down-28-to-buy-right-now/,20221229T140100,Apple stock has seen triple-digit growth in the last five years despite a recent sell-off.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714663%2F0x0-model_y_01.jpg&op=resize&h=340,Motley Fool,www.fool.com,Retail & Wholesale,0.5,Financial Markets,0.929393,Earnings,0.99393,0.229649,Somewhat-Bullish
AAPL,Apple Stock at 52-Week Lows: Here's the Trade.,https://www.thestreet.com/markets/apple-stock-at-52-week-lows-heres-the-trade,20221228T193800,Apple stock is making 52-week lows for a second session. Here are the levels to know right now.,https://www.thestreet.com/.image/t_share/MTk0NzY3MTg5MzY1NDMzNTA2/aapl.png,The Street,www.thestreet.com,Earnings,0.614606,Technology,1,Financial Markets,0.995077,-0.036308,Neutral
AAPL,This Market-Beating Growth Stock Is Too Cheap to Ignore,https://www.fool.com/investing/2022/12/30/this-market-beating-growth-stock-is-too-cheap-to-i/,20221230T114200,This company has rallied impressively on the stock market and is showing no signs of slowing down.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714172%2Fsocial-security-10.jpg&op=resize&h=340,Motley Fool,www.fool.com,Financial Markets,0.929393,Manufacturing,0.5,Earnings,0.999998,0.338917,Somewhat-Bullish
AAPL,"Got $1,000? 2 Smart Stocks to Buy Hand Over Fist",https://www.fool.com/investing/2022/12/28/got-1000-2-smart-stocks-to-buy-hand-over-fist/,20221228T163000,Investing in Apple and Microsoft can help set your portfolio up for long-term growth.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F713972%2Fgettyimages-1294792639.jpg&op=resize&h=340,Motley Fool,www.fool.com,Earnings,0.998333,Technology,1,Financial Markets,0.796627,0.188931,Somewhat-Bullish
AAPL,"Have $3,000? 2 Smart Stocks to Buy at a Discount Right Now",https://www.fool.com/investing/2022/12/29/have-3000-2-smart-stocks-to-buy-at-a-discount-righ/,20221229T153000,Even great companies like Apple and Alphabet are trading at a discount right now.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714172%2Fsocial-security-10.jpg&op=resize&h=340,Motley Fool,www.fool.com,Earnings,0.77141,Technology,1,Financial Markets,0.161647,0.299198,Somewhat-Bullish
AAPL,Better Buy: Microsoft vs. Apple,https://www.fool.com/investing/2022/12/29/better-buy-microsoft-vs-apple/,20221229T140000,"Despite a stock market sell-off, Mircosoft and Apple make compelling buys for the long term.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714304%2Fascending-bar-chart-line-invest-financial-newspaper-stock-market-quote-rally-bull-getty.jpg&op=resize&h=340,Motley Fool,www.fool.com,Financial Markets,0.999365,Earnings,0.992549,Technology,0.5,0.247204,Somewhat-Bullish
AAPL,Loup's Gene Munster Explains The Slide In Apple Shares: 'It's As Simple As That' - Apple  ( NASDAQ:AAPL ),https://www.benzinga.com/analyst-ratings/analyst-color/22/12/30227849/loups-gene-munster-explains-the-slide-in-apple-shares-its-as-simple-as-that,20221229T170633,Apple Inc AAPL shares hit new 52-week lows this week and dropped alongside temperatures since the start of the month. Loup Funds' Gene Munster had a simple explanation for Apple's long winter slide.,https://cdn.benzinga.com/files/images/story/2022/12/29/apple-fifth-avenue-new-york-interior-02-220916.jpg?width=1200&height=800&fit=crop,Benzinga,www.benzinga.com,Financial Markets,0.161647,Manufacturing,0.5,Earnings,0.360215,0.02435,Neutral
AAPL,5 Unstoppable Metaverse Stocks to Buy in 2023,https://www.fool.com/investing/2022/12/28/5-unstoppable-metaverse-stocks-to-buy-in-2023/,20221228T105200,The metaverse opportunity isn't the only reason to like these stocks.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714295%2Famazon-go-first-store.jpg&op=resize&h=340,Motley Fool,www.fool.com,Retail & Wholesale,0.333333,Financial Markets,0.980922,Manufacturing,0.333333,0.224074,Somewhat-Bullish
AAPL,"Earnings Outlook for 2023 and Featured Reports for Apple, JNJ, & Others",https://www.zacks.com/research-daily/2033891/earnings-outlook-for-2023-and-featured-reports-for-apple-jnj-others,20221230T175800,"Today's Research Daily an earnings update and features new research reports on Apple (AAPL), JNJ (JNJ), CSX (CSX) & Others.",https://staticx-tuner.zacks.com/images/default_article_images/default142.jpg,Zacks Commentary,www.zacks.com,Life Sciences,0.5,Financial Markets,0.108179,Earnings,0.988787,-0.041523,Neutral
AAPL,Don't Wait for a Market Crash: These 2 Top Stocks Are on Sale,https://www.fool.com/investing/2022/12/30/dont-wait-for-a-market-crash-these-2-top-stocks-ar/,20221230T221500,Big tech took a big fall during 2022. Now's the time to pick up the pieces with Intel and Apple.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714172%2Fsocial-security-10.jpg&op=resize&h=340,Motley Fool,www.fool.com,Economy - Monetary,0.310843,Financial Markets,0.87644,Manufacturing,0.5,0.090659,Neutral
AAPL,Why This Netflix Analyst Is Double Upgrading The Streaming Stock: 'Difficult For Competitors To Catch' - Netflix  ( NASDAQ:NFLX ),https://www.benzinga.com/analyst-ratings/analyst-color/22/12/30226827/why-this-netflix-analyst-is-double-upgrading-the-streaming-stock-difficult-for-comp,20221229T154717,New content and catalysts from Netflix Inc NFLX have one analyst upgrading the streaming stock and lifting their price target ahead of the new year. The Netflix Analyst: CFRA Research analyst Kenneth Leon upgrades shares of Netflix from Sell to Buy and raises the price target from $225 to $310.,https://cdn.benzinga.com/files/images/story/2022/12/29/shutterstock_2202231527.jpg?width=1200&height=800&fit=crop,Benzinga,www.benzinga.com,Retail & Wholesale,0.5,Financial Markets,0.684621,Earnings,0.857896,0.136939,Neutral
AAPL,Streaming will look more like cable TV in 2023: Here are 5 trends to watch for,https://www.marketwatch.com/story/streaming-will-look-more-like-cable-tv-in-2023-here-are-5-trends-to-watch-for-11672247771,20221228T171600,"The search for profits will be the overriding theme in the coming year, as a slowdown in subscriber growth and a looming recession are forcing streaming services to cut back on their free-spending ways.",https://images.mktw.net/im-515994/social,MarketWatch,www.marketwatch.com,Retail & Wholesale,0.333333,Earnings,0.961735,Technology,0.333333,0.097821,Neutral
AAPL,"One question looms about where tech stocks go now, after one of their worst years on record",https://www.marketwatch.com/story/one-question-looms-about-where-tech-stocks-go-now-after-one-of-their-worst-years-on-record-11672361520,20221230T005200,"Investors face a single question after one of the worst years on record for tech stocks: Is the party over, or just on hold for a while?",https://images.mktw.net/im-694138/social,MarketWatch,www.marketwatch.com,Life Sciences,0.25,Retail & Wholesale,0.25,Financial Markets,0.650727,0.088968,Neutral
AAPL,January Outlook: Can Wall Street Revive in a New Month? Inflation Data Could Be Key,https://www.benzinga.com/markets/22/12/30224287/january-outlook-can-wall-street-revive-in-a-new-month-inflation-data-could-be-key,20221229T112834,"As the market enters a new year, stocks are down 20% from their highs. Treasury yields are climbing. The Fed's raised rates again and again, and Fed Chairman Jerome Powell has stayed hawkish. We're talking about four years ago as Wall Street approached 2019. And what happened that January?",https://cdn.benzinga.com/files/images/story/2022/12/29/shutterstock_1850859871.jpg?width=1200&height=800&fit=crop,Benzinga,www.benzinga.com,Technology,0.333333,Economy - Monetary,0.999682,Economy - Fiscal,0.310843,-0.036513,Neutral
AAPL,1 Warren Buffett Stock I Wouldn't Touch With a 10-Foot Pole,https://www.fool.com/investing/2022/12/29/1-warren-buffett-stock-i-wouldnt-touch-with-a-10-f/,20221229T101500,Coca-Cola hasn't performed as well as many investors think.,https://media.ycharts.com/charts/8ec2a5475c4a02626ab5e31c04011800.png,Motley Fool,www.fool.com,Financial Markets,0.999897,Manufacturing,0.333333,Earnings,0.917436,0.101027,Neutral
AAPL,"Got $5,000? 2 Tech Stocks to Buy and Hold for the Long Term",https://www.fool.com/investing/2022/12/30/got-5000-2-tech-stocks-to-buy-and-hold-for-the-lon/,20221230T101500,"Both companies yield an all-time high of free cash flow per share, making them attractive buys.",https://media.ycharts.com/charts/1f3fae4a85a35fa69076a440a098295d.png,Motley Fool,www.fool.com,Retail & Wholesale,0.5,Financial Markets,0.54554,Earnings,0.929393,0.132156,Neutral
AAPL,3 Top Stocks Worth Buying for the Long Term in 2023,https://www.fool.com/investing/2022/12/30/3-top-stocks-worth-buying-for-long-term-in-2023/,20221230T135300,Opportunities abound as investors close the book on 2022 and turn to 2023.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F714522%2Fbespoke-suit.jpg&op=resize&w=700,Motley Fool,www.fool.com,Economy - Monetary,0.310843,Retail & Wholesale,0.333333,Financial Markets,0.989041,0.387772,Bullish
AAPL,"Apple AirTags and Bluetooth Trackers Are Officially a Billion-Dollar Industry - Here's What To Know, Trends, and the Best Ways To Invest - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/22/12/30215433/apple-airtags-and-bluetooth-trackers-are-officially-a-billion-dollar-industry-heres-what-to-know-tre,20221228T175911,"Apple Inc.'s AAPL AirTag might not seem like a big-ticket item, but the company has now sold over $1 billion worth - or about 55 million - of the handy little trackers since launching in April 2021.",https://cdn.benzinga.com/files/images/story/2022/12/28/jonas-elia-72bteqn3ux8-unsplash.jpg?width=1200&height=800&fit=crop,Benzinga,www.benzinga.com,Economy - Fiscal,0.310843,Financial Markets,0.977154,Earnings,0.77141,0.147191,Neutral
AAPL,Why Last Week's Selloff was a Christmas Gift to Investors,https://www.zacks.com/stock/news/2032820/why-last-weeks-selloff-was-a-christmas-gift-to-investors,20221227T235800,"While the infamous Santa Clause rally was absent in 2022, last week's selloff was ironically an early Christmas gift for long-term investors as they can shop for quality stocks that trade at a significant discount relative to their past.",https://staticx-tuner.zacks.com/images/articles/main/b6/14115.jpg,Zacks Commentary,www.zacks.com,Economy - Monetary,0.158519,Retail & Wholesale,0.5,Financial Markets,0.999999,-0.02688,Neutral
