,tweet_id,user_id,description,location,following,followers,totaltweets,retweetcount,hashtags,text,score,compound,sentiment
0,1,100,"Perspicacity, Persistence, Prudence, Providence and Prayer makes me special. All views tweeted by me are personal and those retweeted are endorsed.","New Delhi, India",541,44,20172,1,[],Entering a startup during a time of layoffs can be a daunting experience but there are ways to prepare yourself and maximize your chances of success,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.8047}",0.8047,POSITIVE
1,2,101,"Philadelphia area news, traffic, weather, politics and sports from WPVI, including breaking news & AccuWeather forecast.",Philadelphia,564,917037,355876,0,[],There are more people that have been moved into new roles or promoted than have been laid off the source said Friday  ,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4215}",0.4215,POSITIVE
2,4,103,non-stop crew prop | @columbuscrew | @columbuscrew2 | #usmnt | @worldsuperlge,,974,747,16047,0,[], you guys play like a relegationthreatened championship team and the only reason its ever gotten close to working is that benteke can pull off some outrageous flickslayoffsother than that you guys will be lucky that mls doesnt have prorel,"{'neg': 0.064, 'neu': 0.708, 'pos': 0.227, 'compound': 0.765}",0.765,POSITIVE
3,5,104,,,533,186,18550,0,[], McKinsey amp Co doing what it does best Layoffs followed by a large invoice for their services,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}",0.6369,POSITIVE
4,6,105,"husband, __ and __ father, brother, friend to many. tx born, ny bred. tech worker. advocate for justice and fair treatment for all. views here are my own.",new york,367,43,1071,0,[],   Bottom line is all the companies are becoming less profitable with the market stagnation All overhired given the expected trajectory of the market That has rendered some jobs not as important and companies are trying to be leaner So layoffs are always on the horizon sadly,"{'neg': 0.088, 'neu': 0.86, 'pos': 0.052, 'compound': -0.1986}",-0.1986,NEGATIVE
5,7,106,AI enthusiast helping to bring #research to #commercialization | SM'#IEEE | SM'#ACM | IEEE Computer Society @Toronto,"Toronto, Ontario",530,333,595,0,[],McDonalds temporarily closed its US offices this week as it informs corporate employees about layoffs  via ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
6,8,107,"I'm Christian, I'm __ conservative, and I'm always loyal to my family, my friends, and my country. #astros_ I'm an alpha __ who believes in __ and respects __.","Houston, Texas",4402,3801,30477,0,[],McDonalds cuts pay packages closes offices alongside layoffs across chain,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.3818}",-0.3818,NEGATIVE
7,9,108,"Just an Old lady on a farm, Wife, Mother, & American","Fitchburg, WI",488,6163,2568132,18,[],McDonalds to lay off hundreds as burger giant restructures company source says ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
8,10,109,"Follower of Messiah Jesus, evangelist, philosopher, ask me why, secondarily: architect. Ye must be born again to see the Kingdom of God. Jesus. USA Patriot",In Christ Alone,5114,3638,179202,547,[],Not only layoffs but also cutting pay for survivorsEverything is fine  __ __ __Not a recession  __Fed still raising rates  ,"{'neg': 0.291, 'neu': 0.619, 'pos': 0.091, 'compound': -0.5927}",-0.5927,NEGATIVE
9,11,110,"Back here since Elon. Mother, wife, realtor, cats, dancing, Messianic Jew, MAGA.","Tampa, FL",3882,1570,5762,171,[], Stop eating McDonalds They tried hard to debunk this IT IS TRUE Notice the McDonalds layoffs Oh much more to come THEY ARE DEMONS,"{'neg': 0.128, 'neu': 0.746, 'pos': 0.126, 'compound': 0.2342}",0.2342,POSITIVE
10,13,112,"freedom loving wife, mother and grandmother.",,548,853,73609,0,[],  Disney is in the toilet  Thats why they arent fixing things and the parks look like shit  They are having mass layoffs,"{'neg': 0.138, 'neu': 0.766, 'pos': 0.096, 'compound': -0.2732}",-0.2732,NEGATIVE
11,14,113,Blogger. Freelancer. Work from home.,,411,113,9651,0,[],Wall Street Journal McDonalds closes offices and tells employees to work from home ahead of layoffs     ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
12,15,114,"Leslieville, T.O. ____","Leslieville, Toronto, Canada",2074,663,16856,0,[], Geeez Any way you look at it layoffs suck,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}",-0.4404,NEGATIVE
13,16,115,MAGA Patriot,,5002,3064,62201,2,[], Interest rates are high inflation is high unemployment increased last month banks are failing layoffs are looming Not the booming economy that your propaganda suggests ,"{'neg': 0.287, 'neu': 0.562, 'pos': 0.151, 'compound': -0.5574}",-0.5574,NEGATIVE
14,17,116,"�Today on this January day, my whole soul is in this. Bringing America together. Uniting our people. Uniting our nation.� President Biden 1/20/21",Wilmington NC,14445,13146,150749,59,['BidenBoom'],POTUS on a rollJobless rate hits lowest everOnly 35 unemployedBidenBoom works for US He cares about peopleGOP has no plan for economy They dont care All they care about is chaos amp POWER LockThemUpProudBlue DemVoice1 Fresh ,"{'neg': 0.292, 'neu': 0.595, 'pos': 0.113, 'compound': -0.8154}",-0.8154,NEGATIVE
15,18,117,_ joint account _,,768,128,2079,3,[],All of which brings up another point people still eat at McDonalds ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
16,19,118,,,78,13,285,0,[],  Its corporate layoffs you boomer __,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
17,20,119,__ Mexican Wine Lover | ___ F1 Fan | __ Private Equity & Private Lending Investor | Managing Partner at Iktea Capital & Fomentamos�,"Le�n, Guanajuato",758,351,3113,16,[],TECH LAYOFF TRACKERTech layoffs are up 250 versus 2022Pace of layoffs per day YTD 2312 people 661 peopleSource ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
18,21,120,"Very conservative, happily married,retired,I love God, family,my country. I love my friends and nature.Trump supporter I Ihttps://t.co/no romance no porn.",Tennessee,335,421,20989,1,[],Facebook Layoffs Leave Business Customers Without Support ,"{'neg': 0.409, 'neu': 0.591, 'pos': 0.0, 'compound': -0.3523}",-0.3523,NEGATIVE
19,22,121,Helping Build the future. https://t.co/Y9FOUygFfH -  https://t.co/J8TEcuI25U (collectables with event based governance experiment),Juiceboxland,681,498,3080,27,[],Voxels is 5 years old ____But something sad is happening __In 3 weeks theres another round of layoffsThe company will be only Ben and 1 serverstayup personI will become unemployed ____ Support me at  or adopt a FELTcute  ,"{'neg': 0.081, 'neu': 0.805, 'pos': 0.114, 'compound': 0.0772}",0.0772,POSITIVE
20,23,122,"I discovered I can add a bat to my profile name

Profile picture made with: https://t.co/4cqJxfULEh",Lake Ocean,198,86,53078,115,[],Lawmakers have asked the US Department of Justice to review theWarner Bros Discovery mergeralleging the deal is responsible for hollowing out an iconic American studio after it caused layoffs and harmed workers in the processSource  ,"{'neg': 0.076, 'neu': 0.784, 'pos': 0.14, 'compound': 0.3818}",0.3818,POSITIVE
21,24,123,,,240,103,68,0,[],Apple Is Reportedly Beginning a Small Round of Layoffs   Tue 04 Apr 2023 143100 GMT,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
22,26,125,"There's always a better way!
AI Enthusiast",,422,268,2061,0,[], depends on how things develop If there were mass layoffs and we are still stuck in a capitalist society with basic needs still at very high prices then UBI is you only way to at least avoid chaos looting suicides etc,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.7845}",-0.7845,NEGATIVE
23,29,128,Nobody's special....,,387,235,3861,0,[], Interestingnot according to what I just watched Layoffs are happening from amazon to Fed Ex hundreds of thousands of them,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.1779}",0.1779,POSITIVE
24,30,129,"Finance and accounting professional in West TX. MBA Finance, MS Accounting.____","Texas, USA",1453,2103,69874,0,[],Not Lovin It McDonalds Slashes Pay Closes Offices Layoffs Workers ,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
25,31,130,"Trillion Dollar Man�, Financial Magician/Midas Touch, High-Performance Business Success Coach, QLA Founder and ""Greatest Of All Time"" in the creation of wealth","Guthrie Castle, Scotland, UK",1411,50420,598819,0,[],BUSINESS INSIDER Facebook is conducting quiet layoffs by urging managers to label a certain number of workers as underperforming The moves may lead to thousands of job cutsDSP AS PREDICTED BY THE TRILLION DOLLAR MAN,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.34}",0.34,POSITIVE
26,32,131,"Global Capital Markets, Geopolitics + Philanthropy.
NOT Investment Advice",,596,13879,15832,1,[],Through March 31st over 158000 tech workers have been laid offOver decade amp especially the last 5 years tech industry went on historic hiring binge We havent yet seen mass layoffs from money losing  SaaS cos amp rounds 2 amp 3 from the gorillas  ,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.3818}",-0.3818,NEGATIVE
27,33,132,Turn your followers into customers on auto-pilot @extrovertai. Member: @cpgclub @skyclubhq,Miami,1081,469,10714,0,['TechResilience'], Its disheartening to see such a high number of layoffs in the tech industry __ But lets remain hopeful amp work towards new opportunities for those affected Progress is unstoppable ____ TechResilience,"{'neg': 0.141, 'neu': 0.562, 'pos': 0.297, 'compound': 0.8271}",0.8271,POSITIVE
28,36,135,100% Focused and Aware. LIMITLESS,Worldwide,111,2181,11417,0,[],   Good luck to your kidsif they are workingthey will soon be unemployed as massive layoffs are about to hit the country and 5060 of workers will be laid off But then againyour kids probably love free shitso they will love the unemployment money,"{'neg': 0.063, 'neu': 0.608, 'pos': 0.329, 'compound': 0.9528}",0.9528,POSITIVE
29,37,136,"Parody Acct! Not here to win a fucking high school popularity contest! 
FUCKING ULTRA CONSERVATIVE KICKASS EVERYDAY REALIST!!
#FUCKER",None of your fucking business,4467,4304,26133,1,[],Is the stock market the Feds Ace up its sleeve ThoughtsGrowth itself is not inflationaryThey let markets rip gt boosts consumer confidence gt boosts economy as wages catch up amp disinflation gt drop rates gt minimal layoffs gt soft landing magic,"{'neg': 0.04, 'neu': 0.61, 'pos': 0.35, 'compound': 0.9231}",0.9231,POSITIVE
30,38,137,"Purge Survivor still Shadowban.

Do not follow if easily offended.
LiKeS are Acknowledgement.
Misspell on purpose.

MDD temp to Matrix",,1128,807,30515,0,[], Agree however the numbers in time will be huge we are switching brands after 20 years Still looks like theater to initiate layoffs Hope Im wrong,"{'neg': 0.09, 'neu': 0.612, 'pos': 0.297, 'compound': 0.7269}",0.7269,POSITIVE
