date,5. adjusted close,symbol
2022-12-30,129.7324,AAPL
2022-11-30,147.6183,AAPL
2022-10-31,152.6598,AAPL
2022-09-30,137.5869,AAPL
2022-08-31,156.5225,AAPL
2022-07-29,161.5643,AAPL
2022-06-30,135.9244,AAPL
2022-05-31,147.9739,AAPL
2022-04-29,156.5038,AAPL
2022-03-31,173.3404,AAPL
2022-02-28,163.9194,AAPL
2022-01-31,173.2881,AAPL
2021-12-31,176.0542,AAPL
2021-11-30,163.889,AAPL
2021-10-29,148.3056,AAPL
2021-09-30,140.0884,AAPL
2021-08-31,150.3154,AAPL
2021-07-30,144.1879,AAPL
2021-06-30,135.3899,AAPL
2021-05-28,123.1815,AAPL
2021-04-30,129.7337,AAPL
2021-03-31,120.546,AAPL
2021-02-26,119.6677,AAPL
2021-01-29,130.0323,AAPL
2020-12-31,130.7516,AAPL
2020-11-30,117.3109,AAPL
2020-10-30,107.0848,AAPL
2020-09-30,113.9214,AAPL
2020-08-31,126.9357,AAPL
2020-07-31,104.3347,AAPL
2020-06-30,89.5475,AAPL
2020-05-29,78.0448,AAPL
2020-04-30,71.929,AAPL
2020-03-31,62.256,AAPL
2020-02-28,66.9248,AAPL
2020-01-31,75.5933,AAPL
2022-12-30,239.216,MSFT
2022-11-30,254.4974,MSFT
2022-10-31,230.8959,MSFT
2022-09-30,231.6618,MSFT
2022-08-31,260.0799,MSFT
2022-07-29,278.6544,MSFT
2022-06-30,254.922,MSFT
2022-05-31,269.8503,MSFT
2022-04-29,274.7878,MSFT
2022-03-31,305.2746,MSFT
2022-02-28,295.8484,MSFT
2022-01-31,307.2822,MSFT
2021-12-31,332.3209,MSFT
2021-11-30,326.6591,MSFT
2021-10-29,327.0788,MSFT
2021-09-30,278.0594,MSFT
2021-08-31,297.7461,MSFT
2021-07-30,280.4682,MSFT
2021-06-30,266.6766,MSFT
2021-05-28,245.7875,MSFT
2021-04-30,247.678,MSFT
2021-03-31,231.561,MSFT
2021-02-26,228.2315,MSFT
2021-01-29,227.2977,MSFT
2020-12-31,217.9495,MSFT
2020-11-30,209.7673,MSFT
2020-10-30,197.8755,MSFT
2020-09-30,205.5571,MSFT
2020-08-31,220.4122,MSFT
2020-07-31,199.8718,MSFT
2020-06-30,198.4094,MSFT
2020-05-29,178.6571,MSFT
2020-04-30,174.2398,MSFT
2020-03-31,153.336,MSFT
2020-02-28,157.5168,MSFT
2020-01-31,165.0593,MSFT
2022-12-30,146.1149,NVDA
2022-11-30,169.2009,NVDA
2022-10-31,134.9149,NVDA
2022-09-30,121.3405,NVDA
2022-08-31,150.8344,NVDA
2022-07-29,181.503,NVDA
2022-06-30,151.484,NVDA
2022-05-31,186.5494,NVDA
2022-04-29,185.3005,NVDA
2022-03-31,272.6107,NVDA
2022-02-28,243.5869,NVDA
2022-01-31,244.5959,NVDA
2021-12-31,293.7927,NVDA
2021-11-30,326.366,NVDA
2021-10-29,255.3617,NVDA
2021-09-30,206.9102,NVDA
2021-08-31,223.5801,NVDA
2021-07-30,194.7201,NVDA
2021-06-30,199.7481,NVDA
2021-05-28,162.1828,NVDA
2021-04-30,149.8527,NVDA
2021-03-31,133.267,NVDA
2021-02-26,136.8799,NVDA
2021-01-29,129.6464,NVDA
2020-12-31,130.2976,NVDA
2020-11-30,133.716,NVDA
2020-10-30,125.0603,NVDA
2020-09-30,135.0031,NVDA
2020-08-31,133.408,NVDA
2020-07-31,105.88,NVDA
2020-06-30,94.7382,NVDA
2020-05-29,88.491,NVDA
2020-04-30,72.8526,NVDA
2020-03-31,65.704,NVDA
2020-02-28,67.3167,NVDA
2020-01-31,58.8944,NVDA
2022-12-30,528.2864,UNH
2022-11-30,544.1291,UNH
2022-10-31,551.4701,UNH
2022-09-30,501.6923,UNH
2022-08-31,514.2692,UNH
2022-07-29,537.055,UNH
2022-06-30,508.6248,UNH
2022-05-31,490.1657,UNH
2022-04-29,501.779,UNH
2022-03-31,503.1801,UNH
2022-02-28,468.1284,UNH
2022-01-31,464.8821,UNH
2021-12-31,493.971,UNH
2021-11-30,435.5876,UNH
2021-10-29,451.5218,UNH
2021-09-30,383.1469,UNH
2021-08-31,406.7206,UNH
2021-07-30,402.7636,UNH
2021-06-30,391.2538,UNH
2021-05-28,400.9772,UNH
2021-04-30,388.2058,UNH
2021-03-31,362.1858,UNH
2021-02-26,322.263,UNH
2021-01-29,323.5822,UNH
2020-12-31,340.1697,UNH
2020-11-30,325.0981,UNH
2020-10-30,294.9409,UNH
2020-09-30,301.3493,UNH
2020-08-31,300.8558,UNH
2020-07-31,291.4514,UNH
2020-06-30,283.9143,UNH
2020-05-29,292.1899,UNH
2020-04-30,280.324,UNH
2020-03-31,239.0235,UNH
2020-02-28,243.4054,UNH
2020-01-31,260.1028,UNH
2022-12-30,175.4141,JNJ
2022-11-30,176.7547,JNJ
2022-10-31,171.6506,JNJ
2022-09-30,161.1821,JNJ
2022-08-31,159.189,JNJ
2022-07-29,171.04,JNJ
2022-06-30,173.9704,JNJ
2022-05-31,175.9501,JNJ
2022-04-29,175.7548,JNJ
2022-03-31,172.609,JNJ
2022-02-28,160.2791,JNJ
2022-01-31,166.716,JNJ
2021-12-31,165.5355,JNJ
2021-11-30,150.8853,JNJ
2021-10-29,156.5712,JNJ
2021-09-30,155.2447,JNJ
2021-08-31,166.4242,JNJ
2021-07-30,164.5482,JNJ
2021-06-30,157.4197,JNJ
2021-05-28,161.7293,JNJ
2021-04-30,154.5385,JNJ
2021-03-31,156.077,JNJ
2021-02-26,150.4835,JNJ
2021-01-29,153.9578,JNJ
2020-12-31,148.5311,JNJ
2020-11-30,136.5451,JNJ
2020-10-30,128.4987,JNJ
2020-09-30,139.5295,JNJ
2020-08-31,143.775,JNJ
2020-07-31,135.7046,JNJ
2020-06-30,130.9285,JNJ
2020-05-29,138.4883,JNJ
2020-04-30,138.7189,JNJ
2020-03-31,121.2357,JNJ
2020-02-28,124.3329,JNJ
2020-01-31,136.7468,JNJ
2022-12-30,110.198,MRK
2022-11-30,108.6625,MRK
2022-10-31,99.8606,MRK
2022-09-30,84.9801,MRK
2022-08-31,83.5671,MRK
2022-07-29,87.4635,MRK
2022-06-30,89.255,MRK
2022-05-31,89.3672,MRK
2022-04-29,86.1238,MRK
2022-03-31,79.676,MRK
2022-02-28,73.7103,MRK
2022-01-31,78.4267,MRK
2021-12-31,73.7681,MRK
2021-11-30,71.4343,MRK
2021-10-29,83.9646,MRK
2021-09-30,71.625,MRK
2021-08-31,72.1004,MRK
2021-07-30,72.6485,MRK
2021-06-30,73.4991,MRK
2021-05-28,67.8528,MRK
2021-04-30,66.61,MRK
2021-03-31,68.9257,MRK
2021-02-26,64.3683,MRK
2021-01-29,68.3126,MRK
2020-12-31,72.5051,MRK
2020-11-30,70.6833,MRK
2020-10-30,66.1288,MRK
2020-09-30,72.9342,MRK
2020-08-31,74.4346,MRK
2020-07-31,70.0438,MRK
2020-06-30,67.5036,MRK
2020-05-29,69.9039,MRK
2020-04-30,68.7088,MRK
2020-03-31,66.6304,MRK
2020-02-28,65.7785,MRK
2020-01-31,73.408,MRK
2022-12-30,100.366,RTX
2022-11-30,98.1781,RTX
2022-10-31,93.754,RTX
2022-09-30,80.9397,RTX
2022-08-31,88.741,RTX
2022-07-29,91.63,RTX
2022-06-30,94.4808,RTX
2022-05-31,93.5076,RTX
2022-04-29,92.736,RTX
2022-03-31,96.8007,RTX
2022-02-28,100.3476,RTX
2022-01-31,87.6498,RTX
2021-12-31,83.6362,RTX
2021-11-30,78.6409,RTX
2021-10-29,85.8535,RTX
2021-09-30,83.0516,RTX
2021-08-31,81.8922,RTX
2021-07-30,83.4972,RTX
2021-06-30,81.9223,RTX
2021-05-28,85.1873,RTX
2021-04-30,79.4591,RTX
2021-03-31,73.7602,RTX
2021-02-26,68.7201,RTX
2021-01-29,63.289,RTX
2020-12-31,67.8225,RTX
2020-11-30,68.0217,RTX
2020-10-30,51.1393,RTX
2020-09-30,54.1708,RTX
2020-08-31,57.4282,RTX
2020-07-31,52.9637,RTX
2020-06-30,57.5798,RTX
2020-05-29,60.2896,RTX
2020-04-30,60.0312,RTX
2020-03-31,43.4347,RTX
2020-02-28,60.1308,RTX
2020-01-31,68.8298,RTX
2022-12-30,213.1741,HON
2022-11-30,218.3965,HON
2022-10-31,201.9511,HON
2022-09-30,165.2768,HON
2022-08-31,187.4299,HON
2022-07-29,189.5724,HON
2022-06-30,171.2023,HON
2022-05-31,190.715,HON
2022-04-29,189.6433,HON
2022-03-31,190.692,HON
2022-02-28,185.9585,HON
2022-01-31,199.3229,HON
2021-12-31,203.2512,HON
2021-11-30,197.1394,HON
2021-10-29,212.1837,HON
2021-09-30,206.0304,HON
2021-08-31,225.0825,HON
2021-07-30,226.001,HON
2021-06-30,212.042,HON
2021-05-28,223.2169,HON
2021-04-30,214.7164,HON
2021-03-31,208.9692,HON
2021-02-26,194.7985,HON
2021-01-29,187.2287,HON
2020-12-31,203.8366,HON
2020-11-30,195.4225,HON
2020-10-30,157.3345,HON
2020-09-30,157.0102,HON
2020-08-31,157.9068,HON
2020-07-31,141.6718,HON
2020-06-30,137.1382,HON
2020-05-29,138.3332,HON
2020-04-30,133.6401,HON
2020-03-31,126.0022,HON
2020-02-28,152.7302,HON
2020-01-31,162.2219,HON
2022-12-30,172.3163,UPS
2022-11-30,188.0671,UPS
2022-10-31,164.8455,UPS
2022-09-30,158.7241,UPS
2022-08-31,191.1193,UPS
2022-07-29,190.0826,UPS
2022-06-30,178.0372,UPS
2022-05-31,177.7544,UPS
2022-04-29,174.0544,UPS
2022-03-31,207.3992,UPS
2022-02-28,203.4922,UPS
2022-01-31,194.143,UPS
2021-12-31,205.789,UPS
2021-11-30,190.4562,UPS
2021-10-29,203.9558,UPS
2021-09-30,173.984,UPS
2021-08-31,186.9109,UPS
2021-07-30,181.8713,UPS
2021-06-30,197.6576,UPS
2021-05-28,203.9589,UPS
2021-04-30,192.8231,UPS
2021-03-31,160.7868,UPS
2021-02-26,149.2852,UPS
2021-01-29,145.6828,UPS
2020-12-31,158.2773,UPS
2020-11-30,160.7868,UPS
2020-10-30,146.7572,UPS
2020-09-30,155.6499,UPS
2020-08-31,152.8382,UPS
2020-07-31,132.5112,UPS
2020-06-30,103.1984,UPS
2020-05-29,92.5518,UPS
2020-04-30,86.9563,UPS
2020-03-31,85.8172,UPS
2020-02-28,83.1257,UPS
2020-01-31,94.13,UPS
2022-12-30,308.9,BRK.B
2022-11-30,318.6,BRK.B
2022-10-31,295.09,BRK.B
2022-09-30,267.02,BRK.B
2022-08-31,280.8,BRK.B
2022-07-29,300.6,BRK.B
2022-06-30,273.02,BRK.B
2022-05-31,315.98,BRK.B
2022-04-29,322.83,BRK.B
2022-03-31,352.91,BRK.B
2022-02-28,321.45,BRK.B
2022-01-31,313.02,BRK.B
2021-12-31,299.0,BRK.B
2021-11-30,276.69,BRK.B
2021-10-29,287.01,BRK.B
2021-09-30,272.94,BRK.B
2021-08-31,285.77,BRK.B
2021-07-30,278.29,BRK.B
2021-06-30,277.92,BRK.B
2021-05-28,289.44,BRK.B
2021-04-30,274.95,BRK.B
2021-03-31,255.47,BRK.B
2021-02-26,240.51,BRK.B
2021-01-29,227.87,BRK.B
2020-12-31,231.87,BRK.B
2020-11-30,228.91,BRK.B
2020-10-30,201.9,BRK.B
2020-09-30,212.94,BRK.B
2020-08-31,218.04,BRK.B
2020-07-31,195.78,BRK.B
2020-06-30,178.51,BRK.B
2020-05-29,185.58,BRK.B
2020-04-30,187.36,BRK.B
2020-03-31,182.83,BRK.B
2020-02-28,206.34,BRK.B
2020-01-31,224.43,BRK.B
2022-12-30,133.1165,JPM
2022-11-30,137.1666,JPM
2022-10-31,124.9568,JPM
2022-09-30,102.8023,JPM
2022-08-31,111.8824,JPM
2022-07-29,113.4859,JPM
2022-06-30,109.8056,JPM
2022-05-31,128.9369,JPM
2022-04-29,116.3875,JPM
2022-03-31,131.9356,JPM
2022-02-28,137.2394,JPM
2022-01-31,143.8207,JPM
2021-12-31,152.327,JPM
2021-11-30,152.7888,JPM
2021-10-29,163.4281,JPM
2021-09-30,156.5358,JPM
2021-08-31,152.9592,JPM
2021-07-30,145.1463,JPM
2021-06-30,147.8889,JPM
2021-05-28,156.161,JPM
2021-04-30,146.244,JPM
2021-03-31,143.8987,JPM
2021-02-26,139.1156,JPM
2021-01-29,121.6281,JPM
2020-12-31,119.2614,JPM
2020-11-30,110.6362,JPM
2020-10-30,92.0154,JPM
2020-09-30,89.5405,JPM
