date,AAPL,BAC,BRK.B,HON,JNJ,JPM,MRK,MSFT,NVDA,RTX,UNH,UPS
2020-01-03,72.6429,32.3725,226.18,167.5038,132.5306,126.0818,78.3998,153.802,58.8047,70.2733,276.4183,106.1326
2020-01-10,75.7935,32.2241,226.62,167.3353,133.2471,124.013,76.9221,156.4394,60.8598,69.5905,281.7549,105.3597
2020-01-17,77.8451,32.1963,230.2,171.5964,137.0224,125.9542,78.1593,162.0244,62.0953,70.7544,284.9436,107.8421
2020-01-24,77.7425,31.111,226.86,165.8837,136.2416,121.3517,73.872,160.027,62.3942,70.2,279.5401,106.0781
2020-01-31,75.5933,30.4524,224.43,162.2219,136.7468,120.6317,73.408,165.0593,58.8944,68.8298,260.1028,94.13
2020-02-07,78.3507,32.1035,227.38,164.1511,139.5209,125.0155,73.0987,178.3044,62.6707,71.868,276.1128,93.7662
2020-02-14,79.5552,32.3261,226.8,169.33,137.9042,125.2798,71.0109,179.7201,72.1863,70.6614,285.2395,96.3395
2020-02-21,76.6418,31.8716,229.33,168.4591,137.7205,123.776,70.7446,173.637,73.2524,69.7681,287.7694,93.6026
2020-02-28,66.9248,26.436,206.34,152.7302,124.3329,105.8216,65.7785,157.5168,67.3167,60.1308,243.4054,83.1257
2020-03-06,70.7612,24.0083,205.98,154.4819,131.3132,98.5031,70.6243,157.089,66.3121,58.2383,271.0052,86.35
2020-03-13,68.0534,22.5609,196.4,140.713,124.1573,94.7026,66.4659,154.425,60.0309,48.5319,260.7424,86.5613
2020-03-20,56.1232,18.3681,170.06,105.9515,110.8438,76.1011,61.7981,133.5407,51.2845,38.0013,198.0105,85.854
2020-03-27,60.6524,20.1704,179.66,123.6289,113.8671,83.0551,62.1185,145.5482,62.9945,44.7332,232.3813,89.5835
2020-04-03,59.1027,18.7043,178.34,120.0312,124.0463,77.4227,66.0329,149.5637,60.7961,46.2484,219.9595,82.6755
2020-04-09,65.6101,23.2146,193.84,135.0811,130.5736,94.6574,71.4367,160.56,65.5419,59.9386,253.1609,90.6583
2020-04-17,69.2359,21.7392,191.2,130.2685,140.5495,87.6751,72.2768,173.6467,72.8626,61.1983,278.4933,94.3879
2020-04-24,69.2775,20.712,186.52,127.6315,143.1752,83.5575,70.5188,169.709,72.1821,58.753,279.193,92.0271
2020-05-01,70.771,21.5524,182.67,129.2608,137.1009,85.8972,67.2626,169.7284,70.4847,56.604,272.6946,84.4209
2020-05-08,76.1277,22.01,176.83,128.9406,137.48,85.3906,66.1628,179.5581,77.8926,54.3439,275.0811,87.1125
2020-05-15,75.5336,20.021,169.25,118.9467,139.0887,79.1268,69.0899,178.0802,84.6549,49.2727,278.8767,83.6217
2020-05-22,78.278,21.1602,174.93,132.007,134.4105,82.4153,66.1368,178.9106,89.994,56.066,277.8991,89.7765
2020-05-29,78.0448,22.5236,185.58,138.3332,138.4883,89.6371,69.9039,178.6571,88.491,60.2896,292.1899,92.5518
2020-06-05,81.3734,26.4259,200.66,153.0534,137.1383,102.4595,71.2376,182.5081,88.9752,67.3446,298.8992,98.9936
2020-06-12,83.1653,23.2954,181.21,137.0623,132.3436,91.9953,66.6044,183.0346,89.0999,61.0839,273.308,94.1947
2020-06-19,85.8459,23.7373,179.72,137.878,133.9077,90.0977,68.0011,190.2589,92.3791,60.6354,280.3432,100.0332
2020-06-26,86.8056,21.7631,175.37,131.087,128.303,85.2893,65.6355,191.4093,91.3193,55.225,276.1463,99.6155
2020-07-02,89.3782,21.8947,178.83,137.546,131.245,86.1828,68.7693,201.0904,95.8803,57.7386,287.1005,106.1501
2020-07-10,94.182,22.581,182.9,135.1085,132.5485,89.5405,66.9798,208.3147,104.5284,55.7296,280.3335,106.8091
2020-07-17,94.5821,21.8289,190.76,147.0117,139.0469,91.2983,69.7208,197.7951,101.7579,58.1218,295.0611,110.0393
2020-07-24,90.9369,22.8912,194.52,141.7287,137.9018,91.4099,67.3028,196.2547,101.6881,58.0003,289.5358,109.8536
2020-07-31,104.3347,23.3894,195.78,141.6718,135.7046,89.8846,70.0438,199.8718,105.88,52.9637,291.4514,132.5112
2020-08-07,109.3005,24.5458,209.48,147.116,138.3487,92.4331,70.7247,207.1545,111.7128,57.2154,305.1682,145.6361
2020-08-14,113.0336,24.8842,210.96,152.8801,138.0135,95.2513,72.8721,203.6643,115.3486,59.9136,311.5887,149.2004
2020-08-21,122.3418,23.4834,207.43,150.2285,142.2217,90.5171,74.1815,208.1861,126.5154,56.7409,302.3863,148.5507
2020-08-28,122.7722,24.7244,218.55,160.6062,143.9905,95.5861,74.7663,223.7155,131.1462,58.5956,302.6077,151.6613
2020-09-04,118.9874,25.125,218.32,158.9942,139.2577,96.2837,74.4084,209.3882,125.9434,57.5882,300.3264,150.1854
2020-09-11,110.1736,24.1405,217.93,158.7653,138.4986,94.0049,73.745,199.4001,121.3736,57.0987,291.4033,148.4012
2020-09-18,105.0977,23.8659,218.21,160.9114,139.8106,91.4751,75.4489,195.8427,121.6205,58.6991,297.7247,149.1392
